대학명,계열,학점,토익,토스,오픽,자격증,수상경험,인턴,해외경험,봉사활동,기업명,부서
동국대학교(경주),특수교육학,3.94 / 4.5,770,없음,IM,2개,0회,0회,0회,0회,신한생명보험㈜,영업관리
동국대학교(경주),특수교육학,3.55 / 4.5,880,L7,없음,0개,0회,1회,1회,1회,CJ푸드빌㈜,HRD·HRM
한양대학교(서울),특수교육학,3.7 / 4.5,940,없음,IH,0개,0회,2회,1회,2회,애경유화㈜,HRD·HRM
동국대학교(경주),특수교육학,3.55 / 4.5,880,L7,없음,0개,0회,1회,1회,1회,SK텔레콤㈜,HRD·HRM
고려대학교(세종),특수교육학,3.59 / 4.5,955,없음,IH,0개,0회,0회,1회,1회,삼성물산(주),경영지원
한양대학교(서울),특수교육학,4.0 / 4.5,930,L6,IH,4개,0회,0회,0회,0회,CJ CGV㈜,영업관리
연세대학교(서울),특수교육학,4.05 / 4.5,870,없음,없음,2개,0회,0회,0회,0회,㈜한국스마트카드,HRD·HRM
성신여자대학교,특수교육학,3.81 / 4.5,895,없음,IH,0개,0회,1회,5회,2회,CJ E&M㈜,HRD·HRM
한양대학교(서울),특수교육학,3.7 / 4.5,940,없음,IH,0개,0회,2회,1회,2회,넥센타이어㈜,HRD·HRM
부산대학교(밀양),특수교육학,4.07 / 4.5,780,없음,IL,2개,0회,0회,1회,1회,SK텔레콤㈜,마케팅전략·기획
연세대학교(서울),특수교육학,4.1 / 4.5,900,L6,없음,1개,0회,1회,0회,0회,금호타이어㈜,경영기획
이화여자대학교,특수교육학,4.28 / 4.5,850,L6,없음,0개,0회,1회,0회,2회,두산그룹,HRD·HRM
고려대학교(세종),특수교육학,3.68 / 4.5,925,L6,없음,0개,0회,0회,0회,0회,삼성디스플레이㈜,경영기획
인하대학교,특수교육학,3.72 / 4.5,825,L6,없음,2개,1회,2회,0회,0회,에스케이디스커버리(주),HRD·HRM
동국대학교(경주),특수교육학,3.52 / 4.5,880,L7,없음,0개,0회,1회,1회,1회,㈜파라다이스카지노,HRD·HRM
성신여자대학교,특수교육학,3.81 / 4.5,895,없음,IH,0개,0회,1회,5회,2회,제일모직㈜,HRD·HRM
한양대학교(서울),특수교육학,3.78 / 4.5,820,L6,없음,1개,0회,1회,0회,2회,삼성생명,영업관리
한양대학교(서울),특수교육학,3.7 / 4.5,940,없음,IH,0개,0회,2회,1회,2회,교원,HRD·HRM
고려대학교(세종),특수교육학,4.2 / 4.5,930,L7,없음,2개,0회,1회,0회,0회,삼성카드㈜,경영지원
전북대학교,특수교육학,4.13 / 4.5,765,없음,없음,5개,0회,0회,0회,0회,새마을금고중앙회,내부감사·통제
성신여자대학교,특수교육학,3.81 / 4.5,895,없음,IH,0개,0회,1회,5회,2회,삼성디스플레이㈜,HRD·HRM
한남대학교,특수교육학,3.9 / 4.5,910,없음,IH,2개,0회,0회,0회,1회,㈜포스코플랜텍,HRD·HRM
연세대학교(서울),특수교육학,3.27 / 4.5,975,없음,IL,0개,0회,0회,0회,0회,두산그룹,HRD·HRM
한남대학교,특수교육학,3.9 / 4.5,910,없음,IH,2개,0회,0회,0회,1회,㈜팜한농,HRD·HRM
